tarih,tahmini_satis,minimum_tahmin,maksimum_tahmin
2018-09-04,32361.449057534377,21434.300047358724,43565.49677273059
2018-09-05,32048.879780003885,21559.409859192805,42562.53827422586
2018-09-06,31433.3178338428,20821.961190027203,41923.48963254189
2018-09-07,31151.940726303998,19990.83450341671,41274.369650500055
2018-09-08,25369.2249362883,14322.761789981965,36208.02949549339
2018-09-09,27084.36149077798,15850.255690751843,37981.95197710481
2018-09-10,35372.02084027069,24849.918329610548,46112.82531375719
2018-09-11,35314.88020121604,24485.156872809344,46543.72831693028
2018-09-12,34783.34599461,24166.940025169322,46450.31891584851
2018-09-13,33897.471014521085,23180.145618314895,44309.44054554932
2018-09-14,33305.98174580506,22061.72934809547,44469.604394392314
2018-09-15,27185.66153712392,16378.292801196758,37401.92841990966
2018-09-16,28548.39435676565,18207.663057782942,39221.16542070146
2018-09-17,36481.54881177203,25458.62280807251,46625.2090237785
2018-09-18,36080.12632302153,24738.585423015495,47964.80853902436
2018-09-19,35226.11682037626,24536.10900372718,45214.81515503502
2018-09-20,34050.07203908683,23209.41667542205,44070.95345822703
2018-09-21,33209.82170552065,22785.193030402323,43645.97049012317
2018-09-22,26889.587329754628,16020.750603862796,37253.44750204385
2018-09-23,28106.806229596492,17210.776868856956,39820.46075527025
2018-09-24,35952.35202060106,25154.217107514065,46523.86473341478
2018-09-25,35522.58048278917,24600.49524274803,46099.30455403967
2018-09-26,34698.64749619251,23441.781607755776,45498.25145795345
2018-09-27,33608.11065882861,22624.510665678525,43802.87996642696
2018-09-28,32903.7395511864,21622.89755584169,43952.570994400485
2018-09-29,26762.787178014274,15836.013103550988,37270.55462790979
2018-09-30,28194.031204582352,17653.280110546486,39065.128882833225
2018-10-01,36278.26548935332,25037.62530519939,46661.11699612751
2018-10-02,36100.663507019424,24898.20105303149,47216.14588056102
2018-10-03,35530.451642632936,25608.334318411908,47858.9894694312
